sample,world,spkdep,spkadapt,onehot,xvector,pvector,speaker_name
mfr0008_stimulis_0002,87,30,30,30,30,30,mfr0008
mfr0014_stimulis_0002,90,35,35,20,20,20,mfr0014
mfr0013_stimulis_0004,75,10,20,35,10,20,mfr0013
ffr0011_stimulis_0001,95,10,10,10,10,10,ffr0011
mfr0015_stimulis_0003,85,10,10,25,10,10,mfr0015
mfr0013_stimulis_0001,75,30,30,30,30,30,mfr0013
mfr0013_stimulis_0003,100,10,10,0,10,10,mfr0013
ffr0012_stimulis_0004,95,10,5,5,10,5,ffr0012
mfr0002_stimulis_0002,95,30,30,30,30,30,mfr0002
ffr0009_stimulis_0004,100,15,15,30,15,15,ffr0009
mfr0013_stimulis_0001,96,38,43,0,45,42,mfr0013
mfr0015_stimulis_0001,0,0,0,73,0,0,mfr0015
mfr0008_stimulis_0001,85,40,40,30,40,40,mfr0008
ffr0009_stimulis_0001,55,35,35,35,35,35,ffr0009
ffr0001_stimulis_0004,65,25,20,25,25,25,ffr0001
mfr0008_stimulis_0004,70,30,30,30,30,25,mfr0008
mfr0014_stimulis_0001,65,30,30,30,30,30,mfr0014
mfr0015_stimulis_0002,70,30,30,30,30,30,mfr0015
mfr0015_stimulis_0004,60,30,30,30,30,30,mfr0015
mfr0014_stimulis_0004,90,25,25,25,25,25,mfr0014
mfr0015_stimulis_0003,80,35,35,35,35,35,mfr0015
ffr0001_stimulis_0003,65,15,15,15,15,15,ffr0001
ffr0012_stimulis_0001,75,40,40,40,40,40,ffr0012
ffr0009_stimulis_0003,80,40,40,40,40,40,ffr0009
mfr0013_stimulis_0003,80,40,40,10,40,40,mfr0013
ffr0012_stimulis_0003,70,30,30,30,30,30,ffr0012
ffr0012_stimulis_0002,80,10,15,20,20,15,ffr0012
mfr0008_stimulis_0005,80,40,40,40,40,40,mfr0008
mfr0002_stimulis_0001,70,30,30,20,25,20,mfr0002
mfr0002_stimulis_0003,80,35,35,35,35,35,mfr0002
ffr0011_stimulis_0003,96,0,0,0,0,0,ffr0011
mfr0013_stimulis_0002,95,0,0,0,0,0,mfr0013
ffr0001_stimulis_0002,88,38,37,0,43,43,ffr0001
mfr0014_stimulis_0003,90,35,35,33,36,29,mfr0014
mfr0014_stimulis_0002,92,33,24,29,35,28,mfr0014
mfr0008_stimulis_0003,99,98,95,88,86,95,mfr0008
ffr0011_stimulis_0004,99,83,81,80,77,83,ffr0011
mfr0013_stimulis_0004,91,23,30,7,23,38,mfr0013
ffr0009_stimulis_0002,93,9,9,8,8,7,ffr0009
mfr0002_stimulis_0004,84,11,28,19,34,4,mfr0002
mfr0008_stimulis_0002,92,13,8,22,33,14,mfr0008
ffr0011_stimulis_0002,97,16,6,34,23,12,ffr0011
ffr0009_stimulis_0003,94,19,27,29,29,16,ffr0009
ffr0011_stimulis_0004,95,15,5,27,37,5,ffr0011
mfr0013_stimulis_0003,87,25,11,2,11,8,mfr0013
mfr0008_stimulis_0001,94,27,26,25,25,26,mfr0008
mfr0015_stimulis_0004,56,32,23,29,30,30,mfr0015
mfr0013_stimulis_0001,70,17,41,23,41,54,mfr0013
mfr0008_stimulis_0005,73,43,42,43,43,43,mfr0008
ffr0001_stimulis_0003,76,52,52,53,51,51,ffr0001
mfr0014_stimulis_0003,56,30,30,30,29,30,mfr0014
ffr0009_stimulis_0002,69,55,55,55,45,53,ffr0009
ffr0009_stimulis_0001,74,48,45,47,46,46,ffr0009
ffr0012_stimulis_0001,84,0,0,50,0,0,ffr0012
ffr0012_stimulis_0003,71,53,56,56,54,55,ffr0012
mfr0008_stimulis_0002,85,65,65,65,65,65,mfr0008
mfr0013_stimulis_0002,85,40,40,40,40,40,mfr0013
mfr0015_stimulis_0002,90,55,70,79,70,70,mfr0015
mfr0014_stimulis_0002,100,40,40,40,40,40,mfr0014
mfr0015_stimulis_0001,100,40,40,40,40,40,mfr0015
ffr0009_stimulis_0004,100,40,40,40,40,40,ffr0009
mfr0008_stimulis_0004,100,40,40,40,40,40,mfr0008
mfr0002_stimulis_0002,100,35,35,35,35,35,mfr0002
ffr0012_stimulis_0004,100,40,40,40,40,40,ffr0012
mfr0014_stimulis_0001,100,60,20,30,60,30,mfr0014
ffr0011_stimulis_0003,90,35,30,35,35,35,ffr0011
mfr0015_stimulis_0003,80,50,50,50,0,50,mfr0015
mfr0013_stimulis_0004,85,30,50,50,50,40,mfr0013
mfr0008_stimulis_0003,85,40,40,40,40,40,mfr0008
ffr0012_stimulis_0002,70,30,30,30,30,30,ffr0012
mfr0014_stimulis_0002,80,20,20,20,20,20,mfr0014
mfr0002_stimulis_0002,90,55,55,55,55,55,mfr0002
mfr0002_stimulis_0003,95,45,45,45,45,45,mfr0002
ffr0012_stimulis_0004,90,60,55,60,55,65,ffr0012
ffr0012_stimulis_0001,90,60,45,45,65,55,ffr0012
mfr0015_stimulis_0003,85,47,40,54,51,45,mfr0015
mfr0002_stimulis_0001,84,57,56,43,67,48,mfr0002
ffr0009_stimulis_0002,100,44,46,43,47,40,ffr0009
mfr0008_stimulis_0003,91,55,50,53,54,53,mfr0008
mfr0013_stimulis_0002,86,34,43,44,44,36,mfr0013
mfr0002_stimulis_0004,74,55,50,0,53,0,mfr0002
mfr0013_stimulis_0004,90,52,54,52,0,58,mfr0013
ffr0001_stimulis_0003,87,66,0,0,0,0,ffr0001
ffr0001_stimulis_0002,100,30,30,30,30,30,ffr0001
ffr0001_stimulis_0004,100,27,20,27,27,24,ffr0001
mfr0013_stimulis_0003,88,31,31,10,31,17,mfr0013
mfr0015_stimulis_0002,88,0,39,54,64,42,mfr0015
mfr0013_stimulis_0001,90,30,30,30,30,30,mfr0013
mfr0014_stimulis_0001,100,40,40,40,40,40,mfr0014
mfr0015_stimulis_0001,85,0,50,0,50,0,mfr0015
mfr0008_stimulis_0004,93,65,65,65,65,65,mfr0008
ffr0012_stimulis_0003,81,52,44,33,34,35,ffr0012
mfr0008_stimulis_0005,88,40,66,22,50,22,mfr0008
mfr0014_stimulis_0004,97,33,54,65,56,73,mfr0014
mfr0014_stimulis_0003,98,67,71,69,67,69,mfr0014
mfr0008_stimulis_0001,100,69,69,69,68,69,mfr0008
mfr0008_stimulis_0002,96,66,53,56,65,65,mfr0008
ffr0011_stimulis_0002,98,85,64,85,64,60,ffr0011
ffr0011_stimulis_0004,94,44,31,32,36,35,ffr0011
mfr0015_stimulis_0004,100,79,86,85,84,88,mfr0015
ffr0011_stimulis_0001,100,70,67,66,80,67,ffr0011
ffr0009_stimulis_0001,81,81,81,81,82,81,ffr0009
ffr0011_stimulis_0003,80,0,30,60,60,40,ffr0011
ffr0009_stimulis_0003,90,80,60,70,70,80,ffr0009
ffr0009_stimulis_0003,99,80,77,86,80,80,ffr0009
ffr0009_stimulis_0004,98,91,85,99,91,99,ffr0009
mfr0002_stimulis_0004,68,74,74,75,74,74,mfr0002
mfr0002_stimulis_0003,86,64,71,67,71,64,mfr0002
mfr0013_stimulis_0003,74,72,71,69,72,70,mfr0013
mfr0013_stimulis_0001,94,78,85,80,79,78,mfr0013
ffr0012_stimulis_0003,70,85,77,90,77,75,ffr0012
ffr0009_stimulis_0004,80,60,60,0,60,60,ffr0009
mfr0002_stimulis_0002,80,40,40,40,50,30,mfr0002
mfr0015_stimulis_0002,80,60,50,60,60,60,mfr0015
ffr0009_stimulis_0002,80,60,60,70,0,70,ffr0009
mfr0014_stimulis_0002,80,30,30,40,60,30,mfr0014
mfr0013_stimulis_0004,95,70,60,60,70,0,mfr0013
